player_id,skillcorner_name,fbref_name,player_dribbling_skill
31155,Jack Elliott,Jack Elliott,-0.2766718712663138
43221,Andres Jasson,Andres Jasson,-0.2776569745051812
36488,Tanner Beason,Andres Jasson,-0.2776569745051812
26467,Martín Exequiel Ojeda,Martín Ojeda,-0.2786309408316711
27160,Diego Santiago Fagúndez Pepe,Diego Fagúndez,-0.2809493253955437
24745,Sean Nealis,Sean Nealis,-0.2921492692681005
13742,Raoul Petretta,Raoul Petretta,-0.2956364910265756
581150,Jules-Anthony Vilsaint,Jules-Anthony Vilsaint,-0.296076314416257
27223,Eriq Anthony Zavaleta Vanney,Jules-Anthony Vilsaint,-0.296076314416257
43751,Pedro Jeampierre Vite Uca,Pedro Vite,-0.2969665559583385
11851,Pedro David Gallese Quiróz,Pedro Vite,-0.2969665559583385
11864,Miguel Ángel Trauco Saavedra,Miguel Trauco,-0.298930096896302
11857,Miguel Gianpierre Araujo Blanco,Miguel Trauco,-0.298930096896302
27092,Brandt Bronico,Brandt Bronico,-0.3035016513118738
18818,Nathan Byrne,Nathan Byrne,-0.3075457609348722
43239,Darren Yapi,Darren Yapi,-0.3081691000234846
24111,Nicholas Gioacchini,Nicholas Gioacchini,-0.3100463172248994
360077,Nicholás Enrique Benalcázar,Nicholas Gioacchini,-0.3100463172248994
43233,Miguel Berry,Miguel Berry,-0.3105945062937134
43234,Nathan Harriel,Nathan Harriel,-0.3118026663499455
27195,Larrys Mabiala Destin,Zarek Valentin,-0.3155294631388725
23860,Zarek Valentin,Zarek Valentin,-0.3155294631388725
27097,Keegan Rosenberry,Keegan Rosenberry,-0.3165398472654002
16253,Cristian Daniel Arango Duque,Cristian Arango,-0.319829357850928
36442,Stefan Cleveland,Justen Glad,-0.3198825611401924
34527,Justen Glad,Justen Glad,-0.3198825611401924
24746,Sean Davis,Sean Davis,-0.3273167179591983
128932,Kevin O'Toole,Kevin O'Toole,-0.3277780208968743
5766,Kelvin Leerdam,Kevin O'Toole,-0.3277780208968743
27191,Cristhian Fabián Paredes Maciel,Cristhian Paredes,-0.3278419495982909
36591,Michael Halliday,Michael Halliday,-0.3293766181266641
539830,Tomás Agustín Avilés Mancilla,Tomás Avilés,-0.3301691083910635
27112,Michael David Barrios Puerta,Michael Barrios,-0.340677535752197
5735,Karol Świderski,Karol Świderski,-0.3542025296115927
28745,Julián Simón Carranza,Julián Carranza,-0.3584447262916231
27173,Brian White,Brian White,-0.3597032396816683
49304,David Justin Kirk Taylor,David Ayala,-0.3617858406582361
43197,Nnamdi Chinonso Offor,Chinonso Offor,-0.3620478782923781
35382,Eugene Ansah,Eugene Ansah,-0.36455663635908
43883,Elias Manoel Alves de Paula,Elias Manoel,-0.3653499751652458
36541,Mauricio Pineda,Mauricio Pineda,-0.3680778148955191
24743,Tom Barlow,Tom Barlow,-0.3762780097897872
27175,Kyle Smith,Kyle Smith,-0.3817137064581532
1635,Carlos Armando Gruezo Arboleda,Carlos Gruezo,-0.3852670607599936
12367,Carlos Miguel Coronel,Carlos Gruezo,-0.3852670607599936
27124,Christian Ramírez,Christian Ramirez,-0.3902273478591817
36478,Felipe Andrés Mora Aliaga,Felipe Mora,-0.3919970217077648
10227,Teemu Pukki,Teemu Pukki,-0.3979844821854078
12706,Georgios Giakoumakis,Giorgos Giakoumakis,-0.3989684797937695
17963,Bobby Shou Wood,Bobby Wood,-0.4067831093072814
156486,Lucas Bartlett,Lucas Bartlett,-0.4112645644771364
63280,Fernando Antonio Álvarez Amador,Efrain Alvarez,-0.4144391551982638
27214,Luis Felipe Hernández Rico,Felipe Hernandez,-0.4148367131126266
3160,Erik Sviatchenko,Erik Sviatchenko,-0.4177946020240993
301533,Hugo-Hilaire Mbongue,Hugo-Hilaire Mbongue Mbongue,-0.4202160029574768
24831,Jean Mota Oliveira de Sousa,Santiago Sosa,-0.4240651164912594
39214,Dixon Jair Arroyo Espinoza,Dixon Arroyo,-0.4345066063537973
332807,Julian Anthony Altobelli,Mark-Anthony Kaye,-0.4375972137809402
17903,Mark-Anthony Kaye,Mark-Anthony Kaye,-0.4375972137809402
23848,Diego Ferney Chará Zamora,Diego Chará,-0.4420869232718543
12028,Sigurd Rosted,Sigurd Rosted,-0.4463828224174181
43791,Enzo Nahuel Copetti,Enzo Copetti,-0.4526974251584206
27132,Ethan Zubak,Ethan Zubak,-0.4543455204061571
67094,José Fajardo Nelson,José Fajardo,-0.4555512378310324
38178,Rodney Iván Redes Cáceres,Rodney Redes,-0.4574481016070494
3676,Fredy Henkyer Montero Muñoz,Fredy Montero,-0.460071348104108
34545,Brian Anunga,Brian Anunga,-0.4748826698730198
17973,Aaron Long,Aaron Long,-0.4873899843909613
36497,Brad Stuver,Brad Smith,-0.4943725904436333
25476,Bradley Shaun Smith,Brad Smith,-0.4943725904436333
123133,Serge Ngoma,Sergio Santos Gomes,-0.4959491297130901
23601,Sergio Henrique Santos Gomes,Sergio Santos Gomes,-0.4959491297130901
27225,Ayo Akinola,Ayo Akinola,-0.4961013535265478
28586,Taylor Washington,Ayo Akinola,-0.4961013535265478
152114,Yohei Takaoka,Ayo Akinola,-0.4961013535265478
332778,Kyle Hiebert,Kyle Hiebert,-0.5018272260988584
1799,Chris Mavinga,Chris Mavinga,-0.5087050353885078
230597,Cassius Mailula,Chris Mavinga,-0.5087050353885078
44467,Jesús Daniel Bueno Añez,Jesús Daniel Bueno,-0.5137879811140348
74696,Monsef Bakrar,Monsef Bakrar,-0.5243277161747147
57496,Josh Bauer,Cody Baker,-0.5264272573366258
332790,Cody William Baker,Cody Baker,-0.5264272573366258
31168,Danny Leyva,Danny Leyva,-0.5317300664656515
133421,Anthony Markanich,Anthony Markanich,-0.5371099416652796
36598,Isaac Boehmer,Simon Becher,-0.5373278886159938
179478,Simon Becher,Simon Becher,-0.5373278886159938
22211,Dániel Gazdag,Dániel Gazdag,-0.5424203342359281
166529,Chris Donovan,Christopher Donovan,-0.5475022739993718
14053,Gabriele Corbo,Gabriele Corbo,-0.5781389244575359
123139,Luca Petrasso,Luca Petrasso,-0.5791775322721641
36482,Bill Tuiloma,Bill Tuiloma,-0.5863920379012179
36550,Laurence Wyke,Bryce Duke,-0.5881116674105257
36465,Bryce Duke,Bryce Duke,-0.5881116674105257
149788,Jackson Hopkins,Jackson Hopkins,-0.5918628032997537
333569,Hayden Sargis,Shanyder Borgelin,-0.6113657911383413
36584,Hassan Ndam,Hassan Ndam,-0.6159238328868636
27153,Luís Alberto Caicedo Mosquera,Luís Caicedo,-0.6210709142180855
33225,Leon Flach,Leon Flach,-0.636268708530842
36546,Miguel Ángel Navarro Zárate,Miguel Navarro,-0.6408307152268415
36106,Miguel Ángel Tapias Dávila,Miguel Navarro,-0.6408307152268415
214010,Matai Akinmboni,Malik Pinto,-0.6431576521990128
581397,Malik Pinto,Malik Pinto,-0.6431576521990128
36452,Kelyn Rowe,Kelyn Rowe,-0.6575812523228352
334229,Bret Halsey,Bret Halsey,-0.6696470078250758
27135,Brent Kallman,Bret Halsey,-0.6696470078250758
13139,Jamal Thiaré,Mikael Uhre,-0.6702986446214416
16441,Mikael Uhre,Mikael Uhre,-0.6702986446214416
64556,Thorleifur Úlfarsson,Þorleifur Úlfarsson,-0.6887462804141512
333194,Jack Panayotou,Jack Panayotou,-0.7107494727237111
36443,Will Bruin,Will Bruin,-0.7531579356001761
34547,Eric Miller,Eric Miller,-0.8548128265146328
34516,Erik Hurtado,Erik Hurtado,-0.8756336268938295
43220,Luke Haakenson,Luke Haakenson,-0.91977538709364
