player_id,skillcorner_name,fbref_name,player_finishing_skill
27089,George Campbell,George Campbell,0.732798427963168
13633,João Klauss de Mello,Johnny Russell,0.720761243935733
5201,Johnathon Simpson Snedden Russell,Johnny Russell,0.720761243935733
17965,Gyasi Zardes,Gyasi Zardes,0.6881725133541824
27149,Mathieu Choinière,Mathieu Choiniere,0.6863173478706801
66358,Nelson Giovany Quiñones Iturre,Nelson Quiñones,0.6823196240888386
123128,Noah Allen,Noah Allen,0.6795735999204161
23874,Ethan Finlay,Ethan Finlay,0.6779453715884061
36567,Raheem Edwards,Raheem Edwards,0.6598885878733599
36556,Earl Edwards Jr.,Raheem Edwards,0.6598885878733599
31156,Kacper Przybyłko,Kacper Przybyłko,0.6567373258485062
43192,Hunter Sulte,Khiry Shelton,0.648941242250082
24113,Khiry Shelton,Khiry Shelton,0.648941242250082
27695,Chris Durkin,Chris Durkin,0.6472041502283438
13202,Aaron Salem Boupendza Pozzi,Aaron Boupendza,0.6436815133069135
36558,Franuel Amaya,Frankie Amaya,0.6376371650791774
11857,Miguel Gianpierre Araujo Blanco,Miguel Trauco,0.6322459641446972
11864,Miguel Ángel Trauco Saavedra,Miguel Trauco,0.6322459641446972
16268,Andreas Maxsø,Andreas Maxsø,0.6203417150450354
36437,Luis Mario Díaz Espinoza,Cristian Espinoza,0.6076600004299684
27203,Cristian Omar Espinoza,Cristian Espinoza,0.6076600004299684
27175,Kyle Smith,Kyle Smith,0.6054749618674641
23870,Harrison Afful,Anderson Julio,0.6014530265473503
36274,Anderson Andrés Julio Santos,Anderson Julio,0.6014530265473503
12548,Sergiy Kryvtsov,Serhiy Kryvtsov,0.598117114125301
23205,Brayan Emanuel Vera Ramírez,Brayan Vera,0.5953494661249417
24744,Ryan Meara,Brayan Vera,0.5953494661249417
149299,Themi Antonoglou,Antonio Carlos,0.5870121792071241
332939,David Antonio Ochoa Posas,Antonio Carlos,0.5870121792071241
31607,Antônio Carlos Cunha Capocasali Junior,Antonio Carlos,0.5870121792071241
13405,Kévin Cabral,Kevin Cabral,0.5785305178293003
18072,Kevon Lambert,Kevin Cabral,0.5785305178293003
43206,Quinn Sullivan,Quinn Sullivan,0.5721555145577495
25476,Bradley Shaun Smith,Brad Smith,0.5710497180383515
36497,Brad Stuver,Brad Smith,0.5710497180383515
43204,Nigel Robertha,Nigel Robertha,0.5570799758773833
36557,Joel Robert Waterman,Nigel Robertha,0.5570799758773833
132623,Theodore Ku-Dipietro,Theodore Ku-Dipietro,0.5568583477312355
17968,Fafà Picault,Faf† Picault,0.5567111606931959
13540,Evander da Silva Ferreira,Jesús Ferreira,0.5401469808938262
27115,Jesús David Ferreira Castro,Jesús Ferreira,0.5401469808938262
629574,Noel Caliskan,Noel Buck,0.5187558723781173
144562,Noel Buck,Noel Buck,0.5187558723781173
28742,Tomás Alejandro Chancalay,Tomás Chancalay,0.5115574453618921
73332,Carlos Andrés Gómez Hinestroza,José Andrés Martínez,0.5115019610165399
36469,José Andrés Martínez Torres,José Andrés Martínez,0.5115019610165399
66806,Adrián Alonso Martínez Batista,José Andrés Martínez,0.5115019610165399
